onset	duration	condition	stim	resp	RT
15.058	20	2	n/a	n/a	n/a
35.13	20	1	n/a	n/a	n/a
55.088	20	3	n/a	n/a	n/a
75.164	20	4	n/a	n/a	n/a
95.105	20	2	n/a	n/a	n/a
115.063	20	3	n/a	n/a	n/a
135.138	20	1	n/a	n/a	n/a
155.096	20	4	n/a	n/a	n/a
175.171	20	1	n/a	n/a	n/a
195.129	20	3	n/a	n/a	n/a
215.071	20	2	n/a	n/a	n/a
235.146	20	4	n/a	n/a	n/a
255.104	20	2	n/a	n/a	n/a
275.062	20	4	n/a	n/a	n/a
295.137	20	3	n/a	n/a	n/a
315.095	20	1	n/a	n/a	n/a
0	0.8	n/a	5	n/a	n/a
1.6	0.8	n/a	7	n/a	n/a
3.2	0.8	n/a	7	n/a	n/a
4.8	0.8	n/a	5	n/a	n/a
6.4	0.8	n/a	7	n/a	n/a
8	0.8	n/a	7	n/a	n/a
9.6	0.8	n/a	7	n/a	n/a
11.2	0.8	n/a	5	n/a	n/a
12.8	0.8	n/a	7	n/a	n/a
14.4	0.8	n/a	5	n/a	n/a
16	0.8	n/a	7	n/a	n/a
17.6	0.8	n/a	5	n/a	n/a
19.2	0.8	n/a	5	n/a	n/a
20.8	0.8	n/a	5	n/a	n/a
22.4	0.8	n/a	7	n/a	n/a
24	0.8	n/a	7	n/a	n/a
25.6	0.8	n/a	5	n/a	n/a
27.2	0.8	n/a	7	n/a	n/a
28.8	0.8	n/a	5	n/a	n/a
30.4	0.8	n/a	7	n/a	n/a
32	0.8	n/a	7	n/a	n/a
33.6	0.8	n/a	5	n/a	n/a
35.2	0.8	n/a	7	n/a	n/a
36.8	0.8	n/a	5	n/a	n/a
38.4	0.8	n/a	7	n/a	n/a
40	0.8	n/a	5	n/a	n/a
41.6	0.8	n/a	5	n/a	n/a
43.2	0.8	n/a	5	n/a	n/a
44.8	0.8	n/a	7	n/a	n/a
46.4	0.8	n/a	5	n/a	n/a
48	0.8	n/a	7	n/a	n/a
49.6	0.8	n/a	5	n/a	n/a
51.2	0.8	n/a	5	n/a	n/a
52.8	0.8	n/a	5	n/a	n/a
54.4	0.8	n/a	7	n/a	n/a
56	0.8	n/a	5	n/a	n/a
57.6	0.8	n/a	7	n/a	n/a
59.2	0.8	n/a	5	n/a	n/a
60.8	0.8	n/a	7	n/a	n/a
62.4	0.8	n/a	5	n/a	n/a
64	0.8	n/a	5	n/a	n/a
65.6	0.8	n/a	5	n/a	n/a
67.2	0.8	n/a	7	n/a	n/a
68.8	0.8	n/a	5	n/a	n/a
70.4	0.8	n/a	7	n/a	n/a
72	0.8	n/a	5	n/a	n/a
73.6	0.8	n/a	7	n/a	n/a
75.2	0.8	n/a	5	n/a	n/a
76.8	0.8	n/a	7	n/a	n/a
78.4	0.8	n/a	5	n/a	n/a
80	0.8	n/a	7	n/a	n/a
81.6	0.8	n/a	7	n/a	n/a
83.2	0.8	n/a	5	n/a	n/a
84.8	0.8	n/a	7	n/a	n/a
86.4	0.8	n/a	5	n/a	n/a
88	0.8	n/a	5	n/a	n/a
89.6	0.8	n/a	7	n/a	n/a
91.2	0.8	n/a	7	n/a	n/a
92.8	0.8	n/a	7	n/a	n/a
94.4	0.8	n/a	5	n/a	n/a
96	0.8	n/a	5	n/a	n/a
97.6	0.8	n/a	7	n/a	n/a
99.2	0.8	n/a	5	n/a	n/a
100.8	0.8	n/a	5	n/a	n/a
102.4	0.8	n/a	5	n/a	n/a
104	0.8	n/a	7	n/a	n/a
105.6	0.8	n/a	5	n/a	n/a
107.2	0.8	n/a	7	n/a	n/a
108.8	0.8	n/a	5	n/a	n/a
110.4	0.8	n/a	5	n/a	n/a
112	0.8	n/a	7	n/a	n/a
113.6	0.8	n/a	7	n/a	n/a
115.2	0.8	n/a	7	n/a	n/a
116.8	0.8	n/a	5	n/a	n/a
118.4	0.8	n/a	5	n/a	n/a
120	0.8	n/a	5	n/a	n/a
121.6	0.8	n/a	7	n/a	n/a
123.2	0.8	n/a	5	n/a	n/a
124.8	0.8	n/a	5	n/a	n/a
126.4	0.8	n/a	5	n/a	n/a
128	0.8	n/a	7	n/a	n/a
129.6	0.8	n/a	7	n/a	n/a
131.2	0.8	n/a	5	n/a	n/a
132.8	0.8	n/a	5	n/a	n/a
134.4	0.8	n/a	5	n/a	n/a
136	0.8	n/a	7	n/a	n/a
137.6	0.8	n/a	7	n/a	n/a
139.2	0.8	n/a	7	n/a	n/a
140.8	0.8	n/a	5	n/a	n/a
142.4	0.8	n/a	5	n/a	n/a
144	0.8	n/a	7	n/a	n/a
145.6	0.8	n/a	7	n/a	n/a
147.2	0.8	n/a	7	n/a	n/a
148.8	0.8	n/a	5	n/a	n/a
150.4	0.8	n/a	7	n/a	n/a
152	0.8	n/a	7	n/a	n/a
153.6	0.8	n/a	7	n/a	n/a
155.2	0.8	n/a	5	n/a	n/a
156.8	0.8	n/a	7	n/a	n/a
158.4	0.8	n/a	5	n/a	n/a
160	0.8	n/a	5	n/a	n/a
161.6	0.8	n/a	5	n/a	n/a
163.2	0.8	n/a	7	n/a	n/a
164.8	0.8	n/a	7	n/a	n/a
166.4	0.8	n/a	5	n/a	n/a
168	0.8	n/a	5	n/a	n/a
169.6	0.8	n/a	5	n/a	n/a
171.2	0.8	n/a	7	n/a	n/a
172.8	0.8	n/a	5	n/a	n/a
174.4	0.8	n/a	7	n/a	n/a
176	0.8	n/a	5	n/a	n/a
177.6	0.8	n/a	7	n/a	n/a
179.2	0.8	n/a	5	n/a	n/a
180.8	0.8	n/a	7	n/a	n/a
182.4	0.8	n/a	5	n/a	n/a
184	0.8	n/a	5	n/a	n/a
185.6	0.8	n/a	5	n/a	n/a
187.2	0.8	n/a	7	n/a	n/a
188.8	0.8	n/a	5	n/a	n/a
190.4	0.8	n/a	5	n/a	n/a
192	0.8	n/a	7	n/a	n/a
193.6	0.8	n/a	5	n/a	n/a
195.2	0.8	n/a	5	n/a	n/a
196.8	0.8	n/a	7	n/a	n/a
198.4	0.8	n/a	5	n/a	n/a
200	0.8	n/a	5	n/a	n/a
201.6	0.8	n/a	7	n/a	n/a
203.2	0.8	n/a	7	n/a	n/a
204.8	0.8	n/a	7	n/a	n/a
206.4	0.8	n/a	5	n/a	n/a
208	0.8	n/a	5	n/a	n/a
209.6	0.8	n/a	7	n/a	n/a
211.2	0.8	n/a	5	n/a	n/a
212.8	0.8	n/a	5	n/a	n/a
214.4	0.8	n/a	5	n/a	n/a
216	0.8	n/a	7	n/a	n/a
217.6	0.8	n/a	7	n/a	n/a
219.2	0.8	n/a	7	n/a	n/a
220.8	0.8	n/a	5	n/a	n/a
222.4	0.8	n/a	7	n/a	n/a
224	0.8	n/a	7	n/a	n/a
225.6	0.8	n/a	7	n/a	n/a
227.2	0.8	n/a	5	n/a	n/a
228.8	0.8	n/a	5	n/a	n/a
230.4	0.8	n/a	5	n/a	n/a
232	0.8	n/a	7	n/a	n/a
233.6	0.8	n/a	5	n/a	n/a
235.2	0.8	n/a	7	n/a	n/a
236.8	0.8	n/a	5	n/a	n/a
238.4	0.8	n/a	5	n/a	n/a
240	0.8	n/a	5	n/a	n/a
241.6	0.8	n/a	7	n/a	n/a
243.2	0.8	n/a	5	n/a	n/a
244.8	0.8	n/a	7	n/a	n/a
246.4	0.8	n/a	5	n/a	n/a
248	0.8	n/a	7	n/a	n/a
249.6	0.8	n/a	5	n/a	n/a
251.2	0.8	n/a	7	n/a	n/a
252.8	0.8	n/a	7	n/a	n/a
254.4	0.8	n/a	7	n/a	n/a
256	0.8	n/a	5	n/a	n/a
257.6	0.8	n/a	5	n/a	n/a
259.2	0.8	n/a	7	n/a	n/a
260.8	0.8	n/a	7	n/a	n/a
262.4	0.8	n/a	7	n/a	n/a
264	0.8	n/a	5	n/a	n/a
265.6	0.8	n/a	7	n/a	n/a
267.2	0.8	n/a	5	n/a	n/a
268.8	0.8	n/a	5	n/a	n/a
270.4	0.8	n/a	7	n/a	n/a
272	0.8	n/a	5	n/a	n/a
273.6	0.8	n/a	5	n/a	n/a
275.2	0.8	n/a	7	n/a	n/a
276.8	0.8	n/a	5	n/a	n/a
278.4	0.8	n/a	5	n/a	n/a
280	0.8	n/a	7	n/a	n/a
281.6	0.8	n/a	5	n/a	n/a
283.2	0.8	n/a	7	n/a	n/a
284.8	0.8	n/a	5	n/a	n/a
286.4	0.8	n/a	7	n/a	n/a
288	0.8	n/a	7	n/a	n/a
289.6	0.8	n/a	5	n/a	n/a
291.2	0.8	n/a	5	n/a	n/a
292.8	0.8	n/a	5	n/a	n/a
294.4	0.8	n/a	7	n/a	n/a
296	0.8	n/a	5	n/a	n/a
297.6	0.8	n/a	7	n/a	n/a
299.2	0.8	n/a	5	n/a	n/a
300.8	0.8	n/a	7	n/a	n/a
302.4	0.8	n/a	7	n/a	n/a
304	0.8	n/a	7	n/a	n/a
305.6	0.8	n/a	5	n/a	n/a
307.2	0.8	n/a	7	n/a	n/a
308.8	0.8	n/a	7	n/a	n/a
310.4	0.8	n/a	7	n/a	n/a
312	0.8	n/a	5	n/a	n/a
313.6	0.8	n/a	5	n/a	n/a
315.2	0.8	n/a	7	n/a	n/a
316.8	0.8	n/a	7	n/a	n/a
318.4	0.8	n/a	7	n/a	n/a
320	0.8	n/a	5	n/a	n/a
321.6	0.8	n/a	7	n/a	n/a
323.2	0.8	n/a	7	n/a	n/a
324.8	0.8	n/a	5	n/a	n/a
326.4	0.8	n/a	7	n/a	n/a
328	0.8	n/a	5	n/a	n/a
329.6	0.8	n/a	7	n/a	n/a
331.2	0.8	n/a	7	n/a	n/a
332.8	0.8	n/a	5	n/a	n/a
334.4	0.8	n/a	5	n/a	n/a
336	0.8	n/a	7	n/a	n/a
337.6	0.8	n/a	7	n/a	n/a
339.2	0.8	n/a	7	n/a	n/a
340.8	0.8	n/a	5	n/a	n/a
342.4	0.8	n/a	7	n/a	n/a
344	0.8	n/a	7	n/a	n/a
345.6	0.8	n/a	7	n/a	n/a
347.2	0.8	n/a	5	n/a	n/a
348.8	0.8	n/a	5	n/a	n/a
350.4	0.8	n/a	5	n/a	n/a
352	0.8	n/a	7	n/a	n/a
0.909	0	n/a	n/a	50	0.909
2.107	0	n/a	n/a	51	0.507
3.66	0	n/a	n/a	51	0.46
5.286	0	n/a	n/a	50	0.485999999999999
6.847	0	n/a	n/a	51	0.447
8.453	0	n/a	n/a	51	0.452999999999999
10.121	0	n/a	n/a	51	0.520999999999999
